"PARAMETER","READING","DATE","TIME"
"Temperature","27","18/01/2023","15:00:29"
"Temperature","26","18/01/2023","15:00:30"
"Temperature","27","18/01/2023","15:00:31"
"Temperature","26","18/01/2023","15:00:32"
"Temperature","27","18/01/2023","15:00:32"
"Temperature","25","18/01/2023","15:00:33"
"Temperature","27","18/01/2023","15:00:34"
"Temperature","27","18/01/2023","15:02:22"
"Temperature","26","18/01/2023","15:02:23"
"Temperature","26","18/01/2023","15:02:24"
"Temperature","27","18/01/2023","15:02:25"
"Temperature","26","18/01/2023","15:02:26"
"Temperature","26","18/01/2023","15:02:27"
"Temperature","25","18/01/2023","15:02:28"
"Temperature","28","18/01/2023","15:02:29"
"Temperature","26","18/01/2023","15:02:30"
"Temperature","27","18/01/2023","15:02:31"
"Temperature","26","18/01/2023","15:02:32"
"Temperature","28","18/01/2023","15:02:33"
"Temperature","26","18/01/2023","15:02:34"
"Temperature","25","18/01/2023","15:02:35"
"Temperature","27","18/01/2023","15:02:36"
"Temperature","26","18/01/2023","15:02:37"
"Temperature","26","18/01/2023","15:02:38"
"Temperature","26","18/01/2023","15:02:39"
"Temperature","26","18/01/2023","15:02:40"
"Temperature","26","18/01/2023","15:02:41"
"Temperature","26","18/01/2023","15:02:42"
"Temperature","25","18/01/2023","15:04:29"
"Temperature","27","18/01/2023","15:04:30"
"Temperature","26","18/01/2023","15:04:31"
"Temperature","26","18/01/2023","15:04:32"
"Temperature","28","18/01/2023","15:04:33"
"Temperature","26","18/01/2023","15:04:34"
"Temperature","26","18/01/2023","15:04:35"
"Temperature","27","18/01/2023","15:04:36"
"Temperature","26","18/01/2023","15:04:37"
"Temperature","27","18/01/2023","15:04:38"
"Temperature","26","18/01/2023","15:04:39"
"Temperature","27","18/01/2023","15:04:40"
"Temperature","26","18/01/2023","15:04:41"
"Temperature","26","18/01/2023","15:04:42"
"Temperature","26","18/01/2023","15:04:43"
"Temperature","29","18/01/2023","15:04:44"
"Temperature","24","18/01/2023","15:04:45"
"Temperature","27","18/01/2023","15:04:46"
"Temperature","26","18/01/2023","15:04:47"
"Temperature","27","18/01/2023","15:04:48"
"Temperature","26","18/01/2023","15:04:49"
"Temperature","25","18/01/2023","15:04:50"
"Temperature","26","18/01/2023","15:14:38"
"Temperature","27","18/01/2023","15:14:39"
"Temperature","26","18/01/2023","15:14:40"
"Temperature","27","18/01/2023","15:14:41"
"Temperature","26","18/01/2023","15:14:42"
"Temperature","26","18/01/2023","15:14:43"
"Temperature","26","18/01/2023","15:14:44"
"Temperature","27","18/01/2023","15:14:45"
"Temperature","27","18/01/2023","15:14:46"
"Temperature","27","18/01/2023","15:14:47"
"Temperature","26","18/01/2023","15:14:48"
"Temperature","27","18/01/2023","15:14:49"
"Temperature","26","18/01/2023","15:14:50"
"Temperature","26","18/01/2023","15:14:51"
"Temperature","26","18/01/2023","15:14:52"

